,user,text,favorite_count,retweet_count,created_at
0,elonmusk,Falcon rockets to orbit as seen from LA https://t.co/r8L2SbLC3p,70482,6964,2022-10-28 01:50:49+00:00
1,elonmusk,@Gfilche @Twitter 🤣,5084,176,2022-10-27 21:45:47+00:00
2,elonmusk,@PeterSchiff 🤣 thanks,14530,353,2022-10-27 16:17:39+00:00
3,elonmusk,@ZubyMusic Absolutely,37509,1019,2022-10-27 13:19:25+00:00
4,elonmusk,Dear Twitter Advertisers https://t.co/GMwHmInPAS,498768,76905,2022-10-27 13:08:00+00:00
5,elonmusk,@BillyM2k 👻,23543,931,2022-10-27 02:32:48+00:00
6,elonmusk,Meeting a lot of cool people at Twitter today!,218136,10467,2022-10-26 21:39:32+00:00
7,elonmusk,Entering Twitter HQ – let that sink in! https://t.co/D68z4K2wq7,1114296,155500,2022-10-26 18:45:58+00:00
8,elonmusk,@dogeofficialceo @mtaibbi 🤣💪,3935,204,2022-10-26 17:18:30+00:00
9,elonmusk,@mtaibbi 🤣,2892,117,2022-10-26 17:14:07+00:00
10,elonmusk,@ARodTV Definitely closer to citizen journalism – local news orgs are under-appreciated &amp; should get way more prominence on Twitter,10874,746,2022-10-26 17:05:16+00:00
11,elonmusk,@sandyleevincent Nobody bats 1000 🤷‍♂️,3058,133,2022-10-26 15:42:50+00:00
12,elonmusk,A beautiful thing about Twitter is how it empowers citizen journalism – people are able to disseminate news without an establishment bias,310438,40015,2022-10-26 15:27:40+00:00
13,elonmusk,@teslaownersSV I’m a big fan of citizen journalism!,5794,512,2022-10-26 15:22:43+00:00
14,elonmusk,“According to unnamed sources close to the matter who wish to remain anonymous” 🤣🤣,66988,4878,2022-10-26 14:50:58+00:00
15,elonmusk,"“The New York Times has emerged as a new, chaotic actor in global politics. The paper’s interventions in some of the world’s most combustible conflicts have sometimes been a boon, but their messaging has also caused problems.”",105892,11211,2022-10-26 14:48:22+00:00
16,elonmusk,@dontreadonmeow @nytimes 🤣🔥,3410,139,2022-10-26 14:41:26+00:00
17,elonmusk,@PPathole @Twitter Yes!,14436,490,2022-10-26 07:27:48+00:00
18,elonmusk,@westcoastbill 30% is a lot,2968,156,2022-10-26 06:32:58+00:00
19,elonmusk,@eldsjal Concerning,17660,727,2022-10-26 06:28:34+00:00
20,elonmusk,Works on any moving land object https://t.co/Xu4qKJW4D9,43750,3759,2022-10-25 23:26:39+00:00
21,elonmusk,@chazman @lexfridman Fasting rocks,5101,294,2022-10-25 13:54:37+00:00
22,elonmusk,@VitalikButerin @balajis @zengjiajun_eth Had to do a double-take. This is the first non-fake Vitalik tweet I’ve seen in a while.,11583,580,2022-10-25 13:24:27+00:00
23,elonmusk,@dogeofficialceo @DirtyTesLa @rocobasilisk @SwipeWright 💯,3630,178,2022-10-25 09:16:17+00:00
24,elonmusk,@garyblack00 @SawyerMerritt One man’s hedge is another man’s shrub,4777,248,2022-10-25 08:30:54+00:00
25,elonmusk,@muskQu0tes Yup,9388,352,2022-10-25 08:19:58+00:00
26,elonmusk,@emollick True,4757,241,2022-10-25 08:11:11+00:00
27,elonmusk,@elon_wisdom Too much respect for authority inhibits innovation,40554,4142,2022-10-25 08:01:29+00:00
28,elonmusk,@DirtyTesLa @rocobasilisk @SwipeWright 💪,1590,46,2022-10-25 07:55:19+00:00
29,elonmusk,@stevenmarkryan @EmmetPeppers @heydave7 @TwitterSpaces @YouTube 😉,5265,260,2022-10-25 04:35:20+00:00
30,elonmusk,What lesson took you the longest to unlearn?,149928,11833,2022-10-25 04:33:08+00:00
31,elonmusk,διαλεκτική,98361,7046,2022-10-25 01:25:34+00:00
32,elonmusk,"@SwipeWright Twitter should be as broadly inclusive as possible, serving as a fair forum for lively, even if occasionally rancorous, debate between widely divergent beliefs.",25897,3398,2022-10-25 01:15:05+00:00
33,elonmusk,@MuskUniversity Absolutely necessary,2260,140,2022-10-24 22:45:37+00:00
34,elonmusk,@DavidSacks @MarcBodnick !,2287,100,2022-10-24 21:39:38+00:00
35,elonmusk,@realchrisrufo @MaxBoot 🤣🤣,13288,566,2022-10-24 21:38:44+00:00
36,elonmusk,@MuskUniversity Important,9573,496,2022-10-24 20:49:20+00:00
37,elonmusk,@MuskUniversity Yup,1575,77,2022-10-24 20:46:26+00:00
38,elonmusk,@DavidSacks Exactly!,2490,119,2022-10-24 20:41:15+00:00
39,elonmusk,@SawyerMerritt 🤣,12518,470,2022-10-24 20:40:14+00:00
40,elonmusk,"@VinnyLingham Yeah, doesn’t make sense",26137,1290,2022-10-24 18:45:00+00:00
41,elonmusk,@MuskUniversity Good thread,2655,135,2022-10-24 13:49:02+00:00
42,elonmusk,@RenataKonkoly @spideycyp_155 @SquawkCNBC @Kasparov63 I only play crazy 9’s,1923,95,2022-10-24 13:42:48+00:00
43,elonmusk,"@MarcusHouse @LordofEa @kerrikgray @chicago_glenn @Tesla @teslaownersSV @dvorahfr @TonyadeVitti @SpaceX @SirineAti That’s the plan, unless it is damaged in testing. What really matters is that ship &amp; booster production line is spooling up. Also, each new ship &amp; booster has incremental design improvements.",3826,238,2022-10-24 13:39:48+00:00
44,elonmusk,"@ChananBos @SquawkCNBC @Kasparov63 Yeah, I’m back to spare bedroom /couch surfing at friend’s houses in Silicon Valley, which I did for about a decade.

Frankly, I like it this way, as I get to see my friends, who I love, more often.",5862,284,2022-10-24 13:35:53+00:00
45,elonmusk,"@spideycyp_155 @SquawkCNBC @Kasparov63 I did as a child, but found it to be too simple to be useful in real life: a mere 8 by 8 grid, no fog of war, no technology tree, no random map or spawn position, only 2 players, both sides exact same pieces, etc.

Polytopia addresses these limitations.",3701,274,2022-10-24 13:28:44+00:00
46,elonmusk,"@SquawkCNBC @Kasparov63 And I don’t even own a house, let alone a “mansion”, you douche",8794,636,2022-10-24 13:19:56+00:00
47,elonmusk,"@SquawkCNBC @Kasparov63 While it’s true that Kasparov is almost as good at playing chess as my iPhone, he is otherwise an idiot",15618,1887,2022-10-24 13:13:07+00:00
48,elonmusk,@spideycyp_155 @Teslarati @Writer_01001101 @FedorovMykhailo Yes,1667,78,2022-10-24 12:58:14+00:00
49,elonmusk,@dogeofficialceo @gunsnrosesgirl3 @DolphinDroneDom 🤣,1541,66,2022-10-24 12:51:35+00:00
50,elonmusk,"@gunsnrosesgirl3 @DolphinDroneDom How exciting to be alive at the same time as the largest animal ever! 

Wild that Blue whales are bigger than the biggest dinosaur.",47189,2114,2022-10-24 12:48:28+00:00
51,elonmusk,@FedorovMykhailo @Teslarati @Writer_01001101 You’re most welcome,5170,219,2022-10-24 05:39:47+00:00
52,elonmusk,"@Teslarati @Writer_01001101 Before DoD even came back with an answer, I told @FedorovMykhailo that SpaceX would not turn off Starlink even if DoD refused to provide funding",11678,1095,2022-10-24 02:37:00+00:00
53,elonmusk,@LordofEa @kerrikgray @chicago_glenn @Tesla @teslaownersSV @dvorahfr @TonyadeVitti @SpaceX @SirineAti Absolutely!,10293,513,2022-10-23 22:36:41+00:00
54,elonmusk,@SKMorefield Interesting,10841,607,2022-10-23 16:58:01+00:00
55,elonmusk,@pcgamer Great game,35958,1279,2022-10-23 13:31:21+00:00
56,elonmusk,"Maybe it was a social media algorithm, not even people",54322,4046,2022-10-23 13:29:48+00:00
57,elonmusk,Think about who might have decided “The Current Thing” before accepting it,114353,12554,2022-10-23 13:26:21+00:00
